dataset,variable,dtype,dims,shape,lat_dim,lon_dim,time_dim,lead_dim,level_dim,member_dim
era5_truth_240,mean_sea_level_pressure,float32,"time,longitude,latitude",93544x240x121,latitude,longitude,time,,,
era5_truth_240,mean_surface_latent_heat_flux,float32,"time,longitude,latitude",93544x240x121,latitude,longitude,time,,,
era5_truth_240,mean_surface_net_long_wave_radiation_flux,float32,"time,longitude,latitude",93544x240x121,latitude,longitude,time,,,
era5_truth_240,mean_surface_net_short_wave_radiation_flux,float32,"time,longitude,latitude",93544x240x121,latitude,longitude,time,,,
era5_truth_240,mean_surface_sensible_heat_flux,float32,"time,longitude,latitude",93544x240x121,latitude,longitude,time,,,
era5_truth_240,mean_top_downward_short_wave_radiation_flux,float32,"time,longitude,latitude",93544x240x121,latitude,longitude,time,,,
era5_truth_240,mean_top_net_long_wave_radiation_flux,float32,"time,longitude,latitude",93544x240x121,latitude,longitude,time,,,
era5_truth_240,mean_top_net_short_wave_radiation_flux,float32,"time,longitude,latitude",93544x240x121,latitude,longitude,time,,,
era5_truth_240,mean_vertically_integrated_moisture_divergence,float32,"time,longitude,latitude",93544x240x121,latitude,longitude,time,,,
era5_truth_240,potential_vorticity,float32,"time,level,longitude,latitude",93544x13x240x121,latitude,longitude,time,,level,
era5_truth_240,relative_humidity,float32,"time,level,longitude,latitude",93544x13x240x121,latitude,longitude,time,,level,
era5_truth_240,sea_ice_cover,float32,"time,longitude,latitude",93544x240x121,latitude,longitude,time,,,
era5_truth_240,sea_surface_temperature,float32,"time,longitude,latitude",93544x240x121,latitude,longitude,time,,,
era5_truth_240,slope_of_sub_gridscale_orography,float32,"longitude,latitude",240x121,latitude,longitude,,,,
era5_truth_240,snow_depth,float32,"time,longitude,latitude",93544x240x121,latitude,longitude,time,,,
era5_truth_240,soil_type,float32,"longitude,latitude",240x121,latitude,longitude,,,,
era5_truth_240,specific_humidity,float32,"time,level,longitude,latitude",93544x13x240x121,latitude,longitude,time,,level,
era5_truth_240,standard_deviation_of_filtered_subgrid_orography,float32,"longitude,latitude",240x121,latitude,longitude,,,,
era5_truth_240,standard_deviation_of_orography,float32,"longitude,latitude",240x121,latitude,longitude,,,,
era5_truth_240,surface_pressure,float32,"time,longitude,latitude",93544x240x121,latitude,longitude,time,,,
era5_truth_240,temperature,float32,"time,level,longitude,latitude",93544x13x240x121,latitude,longitude,time,,level,
era5_truth_240,total_cloud_cover,float32,"time,longitude,latitude",93544x240x121,latitude,longitude,time,,,
era5_truth_240,total_column_vapor,float32,"time,longitude,latitude",93544x240x121,latitude,longitude,time,,,
era5_truth_240,total_column_water,float32,"time,longitude,latitude",93544x240x121,latitude,longitude,time,,,
era5_truth_240,total_column_water_vapour,float32,"time,longitude,latitude",93544x240x121,latitude,longitude,time,,,
era5_truth_240,total_precipitation_12hr,float32,"time,longitude,latitude",93544x240x121,latitude,longitude,time,,,
era5_truth_240,total_precipitation_24hr,float32,"time,longitude,latitude",93544x240x121,latitude,longitude,time,,,
era5_truth_240,total_precipitation_6hr,float32,"time,longitude,latitude",93544x240x121,latitude,longitude,time,,,
era5_truth_240,type_of_high_vegetation,float32,"longitude,latitude",240x121,latitude,longitude,,,,
era5_truth_240,type_of_low_vegetation,float32,"longitude,latitude",240x121,latitude,longitude,,,,
era5_truth_240,u_component_of_wind,float32,"time,level,longitude,latitude",93544x13x240x121,latitude,longitude,time,,level,
era5_truth_240,v_component_of_wind,float32,"time,level,longitude,latitude",93544x13x240x121,latitude,longitude,time,,level,
era5_truth_240,vertical_velocity,float32,"time,level,longitude,latitude",93544x13x240x121,latitude,longitude,time,,level,
era5_truth_240,volumetric_soil_water_layer_1,float32,"time,longitude,latitude",93544x240x121,latitude,longitude,time,,,
era5_truth_240,volumetric_soil_water_layer_2,float32,"time,longitude,latitude",93544x240x121,latitude,longitude,time,,,
era5_truth_240,volumetric_soil_water_layer_3,float32,"time,longitude,latitude",93544x240x121,latitude,longitude,time,,,
era5_truth_240,volumetric_soil_water_layer_4,float32,"time,longitude,latitude",93544x240x121,latitude,longitude,time,,,
era5_truth_240,vorticity,float32,"time,level,longitude,latitude",93544x13x240x121,latitude,longitude,time,,level,
era5_truth_240,wind_speed,float32,"time,level,longitude,latitude",93544x13x240x121,latitude,longitude,time,,level,
graphcast_2020_240,10m_u_component_of_wind,float32,"time,prediction_timedelta,longitude,latitude",886x40x240x121,latitude,longitude,time,prediction_timedelta,,
graphcast_2020_240,10m_v_component_of_wind,float32,"time,prediction_timedelta,longitude,latitude",886x40x240x121,latitude,longitude,time,prediction_timedelta,,
graphcast_2020_240,10m_wind_speed,float32,"time,prediction_timedelta,longitude,latitude",886x40x240x121,latitude,longitude,time,prediction_timedelta,,
graphcast_2020_240,2m_temperature,float32,"time,prediction_timedelta,longitude,latitude",886x40x240x121,latitude,longitude,time,prediction_timedelta,,
graphcast_2020_240,geopotential,float32,"time,prediction_timedelta,level,longitude,latitude",886x40x37x240x121,latitude,longitude,time,prediction_timedelta,level,
graphcast_2020_240,mean_sea_level_pressure,float32,"time,prediction_timedelta,longitude,latitude",886x40x240x121,latitude,longitude,time,prediction_timedelta,,
graphcast_2020_240,specific_humidity,float32,"time,prediction_timedelta,level,longitude,latitude",886x40x37x240x121,latitude,longitude,time,prediction_timedelta,level,
graphcast_2020_240,temperature,float32,"time,prediction_timedelta,level,longitude,latitude",886x40x37x240x121,latitude,longitude,time,prediction_timedelta,level,
graphcast_2020_240,total_precipitation_24hr,float32,"time,prediction_timedelta,longitude,latitude",886x40x240x121,latitude,longitude,time,prediction_timedelta,,
graphcast_2020_240,total_precipitation_6hr,float32,"time,prediction_timedelta,longitude,latitude",886x40x240x121,latitude,longitude,time,prediction_timedelta,,
graphcast_2020_240,u_component_of_wind,float32,"time,prediction_timedelta,level,longitude,latitude",886x40x37x240x121,latitude,longitude,time,prediction_timedelta,level,
graphcast_2020_240,v_component_of_wind,float32,"time,prediction_timedelta,level,longitude,latitude",886x40x37x240x121,latitude,longitude,time,prediction_timedelta,level,
graphcast_2020_240,vertical_velocity,float32,"time,prediction_timedelta,level,longitude,latitude",886x40x37x240x121,latitude,longitude,time,prediction_timedelta,level,
graphcast_2020_240,wind_speed,float32,"time,prediction_timedelta,level,longitude,latitude",886x40x37x240x121,latitude,longitude,time,prediction_timedelta,level,
hres_0012_240,10m_u_component_of_wind,float32,"time,prediction_timedelta,longitude,latitude",5114x41x240x121,latitude,longitude,time,prediction_timedelta,,
hres_0012_240,10m_v_component_of_wind,float32,"time,prediction_timedelta,longitude,latitude",5114x41x240x121,latitude,longitude,time,prediction_timedelta,,
hres_0012_240,10m_wind_speed,float32,"time,prediction_timedelta,longitude,latitude",5114x41x240x121,latitude,longitude,time,prediction_timedelta,,
hres_0012_240,2m_temperature,float32,"time,prediction_timedelta,longitude,latitude",5114x41x240x121,latitude,longitude,time,prediction_timedelta,,
hres_0012_240,geopotential,float32,"time,prediction_timedelta,level,longitude,latitude",5114x41x13x240x121,latitude,longitude,time,prediction_timedelta,level,
hres_0012_240,mean_sea_level_pressure,float32,"time,prediction_timedelta,longitude,latitude",5114x41x240x121,latitude,longitude,time,prediction_timedelta,,
hres_0012_240,specific_humidity,float32,"time,prediction_timedelta,level,longitude,latitude",5114x41x13x240x121,latitude,longitude,time,prediction_timedelta,level,
hres_0012_240,surface_pressure,float32,"time,prediction_timedelta,longitude,latitude",5114x41x240x121,latitude,longitude,time,prediction_timedelta,,
hres_0012_240,temperature,float32,"time,prediction_timedelta,level,longitude,latitude",5114x41x13x240x121,latitude,longitude,time,prediction_timedelta,level,
hres_0012_240,total_precipitation,float32,"time,prediction_timedelta,longitude,latitude",5114x41x240x121,latitude,longitude,time,prediction_timedelta,,
hres_0012_240,total_precipitation_24hr,float32,"time,prediction_timedelta,longitude,latitude",5114x41x240x121,latitude,longitude,time,prediction_timedelta,,
hres_0012_240,total_precipitation_6hr,float32,"time,prediction_timedelta,longitude,latitude",5114x41x240x121,latitude,longitude,time,prediction_timedelta,,
hres_0012_240,u_component_of_wind,float32,"time,prediction_timedelta,level,longitude,latitude",5114x41x13x240x121,latitude,longitude,time,prediction_timedelta,level,
hres_0012_240,v_component_of_wind,float32,"time,prediction_timedelta,level,longitude,latitude",5114x41x13x240x121,latitude,longitude,time,prediction_timedelta,level,
hres_0012_240,vertical_velocity,float32,"time,prediction_timedelta,level,longitude,latitude",5114x41x13x240x121,latitude,longitude,time,prediction_timedelta,level,
hres_0012_240,wind_speed,float32,"time,prediction_timedelta,level,longitude,latitude",5114x41x13x240x121,latitude,longitude,time,prediction_timedelta,level,
ifs_ens_240,10m_u_component_of_wind,float32,"time,number,prediction_timedelta,longitude,latitude",3652x50x61x240x121,latitude,longitude,time,prediction_timedelta,,number
ifs_ens_240,10m_v_component_of_wind,float32,"time,number,prediction_timedelta,longitude,latitude",3652x50x61x240x121,latitude,longitude,time,prediction_timedelta,,number
ifs_ens_240,10m_wind_speed,float32,"time,number,prediction_timedelta,longitude,latitude",3652x50x61x240x121,latitude,longitude,time,prediction_timedelta,,number
ifs_ens_240,2m_temperature,float32,"time,number,prediction_timedelta,longitude,latitude",3652x50x61x240x121,latitude,longitude,time,prediction_timedelta,,number
ifs_ens_240,geopotential,float32,"time,number,prediction_timedelta,level,longitude,latitude",3652x50x61x3x240x121,latitude,longitude,time,prediction_timedelta,level,number
ifs_ens_240,mean_sea_level_pressure,float32,"time,number,prediction_timedelta,longitude,latitude",3652x50x61x240x121,latitude,longitude,time,prediction_timedelta,,number
ifs_ens_240,relative_humidity,float32,"time,number,prediction_timedelta,level,longitude,latitude",3652x50x61x3x240x121,latitude,longitude,time,prediction_timedelta,level,number
ifs_ens_240,specific_humidity,float32,"time,number,prediction_timedelta,level,longitude,latitude",3652x50x61x3x240x121,latitude,longitude,time,prediction_timedelta,level,number
ifs_ens_240,temperature,float32,"time,number,prediction_timedelta,level,longitude,latitude",3652x50x61x3x240x121,latitude,longitude,time,prediction_timedelta,level,number
ifs_ens_240,total_precipitation,float32,"time,number,prediction_timedelta,longitude,latitude",3652x50x61x240x121,latitude,longitude,time,prediction_timedelta,,number
ifs_ens_240,total_precipitation_24hr,float32,"time,number,prediction_timedelta,longitude,latitude",3652x50x61x240x121,latitude,longitude,time,prediction_timedelta,,number
ifs_ens_240,total_precipitation_6hr,float32,"time,number,prediction_timedelta,longitude,latitude",3652x50x61x240x121,latitude,longitude,time,prediction_timedelta,,number
ifs_ens_240,u_component_of_wind,float32,"time,number,prediction_timedelta,level,longitude,latitude",3652x50x61x3x240x121,latitude,longitude,time,prediction_timedelta,level,number
ifs_ens_240,v_component_of_wind,float32,"time,number,prediction_timedelta,level,longitude,latitude",3652x50x61x3x240x121,latitude,longitude,time,prediction_timedelta,level,number
ifs_ens_240,wind_speed,float32,"time,number,prediction_timedelta,level,longitude,latitude",3652x50x61x3x240x121,latitude,longitude,time,prediction_timedelta,level,number
neuralgcm_det_2020_240,P_minus_E_cumulative,float32,"time,prediction_timedelta,longitude,latitude",732x31x240x121,latitude,longitude,time,prediction_timedelta,,
neuralgcm_det_2020_240,geopotential,float32,"time,prediction_timedelta,level,longitude,latitude",732x31x37x240x121,latitude,longitude,time,prediction_timedelta,level,
neuralgcm_det_2020_240,specific_cloud_ice_water_content,float32,"time,prediction_timedelta,level,longitude,latitude",732x31x37x240x121,latitude,longitude,time,prediction_timedelta,level,
neuralgcm_det_2020_240,specific_cloud_liquid_water_content,float32,"time,prediction_timedelta,level,longitude,latitude",732x31x37x240x121,latitude,longitude,time,prediction_timedelta,level,
neuralgcm_det_2020_240,specific_humidity,float32,"time,prediction_timedelta,level,longitude,latitude",732x31x37x240x121,latitude,longitude,time,prediction_timedelta,level,
neuralgcm_det_2020_240,temperature,float32,"time,prediction_timedelta,level,longitude,latitude",732x31x37x240x121,latitude,longitude,time,prediction_timedelta,level,
neuralgcm_det_2020_240,u_component_of_wind,float32,"time,prediction_timedelta,level,longitude,latitude",732x31x37x240x121,latitude,longitude,time,prediction_timedelta,level,
neuralgcm_det_2020_240,v_component_of_wind,float32,"time,prediction_timedelta,level,longitude,latitude",732x31x37x240x121,latitude,longitude,time,prediction_timedelta,level,
neuralgcm_det_2020_240,wind_speed,float32,"time,prediction_timedelta,level,longitude,latitude",732x31x37x240x121,latitude,longitude,time,prediction_timedelta,level,
