window,variable,model,lead,rmse_mean,acc_mean,mae_mean,bias_mean,n_valid_times,lead_h,tag,bucket,season,start,end,rank_rmse,rank_acc
2020-01-01_2020-12-31,t850,HRES,7 days,2.640199791685262,0.8591279308209884,1.718198049101798,-0.0311267507778369,718,168.0,2020,year,ALL,2020-01-01,2020-12-31,3.0,3.0
2020-01-01_2020-12-31,u850,GraphCast,7 days,4.360939695741034,0.7035494503248524,2.949574036712916,0.0854640650681494,718,168.0,2020,year,ALL,2020-01-01,2020-12-31,1.0,1.0
2020-01-01_2020-12-31,u850,NeuralGCM,7 days,4.550696189019703,0.6917425072925751,3.0651486530739,0.0844742624562673,718,168.0,2020,year,ALL,2020-01-01,2020-12-31,2.0,2.0
2020-01-01_2020-12-31,u850,HRES,7 days,5.013425500814067,0.6350368534657537,3.438427815149694,-0.0354144650059576,718,168.0,2020,year,ALL,2020-01-01,2020-12-31,3.0,3.0
2020-01-01_2020-12-31,v850,GraphCast,7 days,4.436915614013492,0.6419106466342441,2.911276173886421,-0.0050848428471358,718,168.0,2020,year,ALL,2020-01-01,2020-12-31,1.0,1.0
2020-01-01_2020-12-31,v850,NeuralGCM,7 days,4.633747728749227,0.632369715910309,3.0417591718266057,0.0213813749605878,718,168.0,2020,year,ALL,2020-01-01,2020-12-31,2.0,2.0
2020-01-01_2020-12-31,v850,HRES,7 days,5.088544332391823,0.5699040844927411,3.390441362756392,-0.0012167523656727,718,168.0,2020,year,ALL,2020-01-01,2020-12-31,3.0,3.0
2020-01-01_2020-12-31,z500,GraphCast,7 days,464.43393339350735,0.8940495291621002,269.4230964616889,-30.843578142017105,718,168.0,2020,year,ALL,2020-01-01,2020-12-31,1.0,2.0
2020-01-01_2020-12-31,z500,NeuralGCM,7 days,465.42044021153833,0.8947919073303396,267.8072168891072,-0.4597557912197276,718,168.0,2020,year,ALL,2020-01-01,2020-12-31,2.0,1.0
2020-01-01_2020-12-31,z500,HRES,7 days,518.4735907693731,0.8702477568069195,305.7183616965786,-12.776865402299284,718,168.0,2020,year,ALL,2020-01-01,2020-12-31,3.0,3.0
2021-01-01_2021-12-31,mslp,GraphCast,7 days,436.72717846565655,0.7725981756966012,264.17535526543907,-20.773785212066407,62,168.0,2021,year,ALL,2021-01-01,2021-12-31,1.0,1.0
2021-01-01_2021-12-31,mslp,HRES,7 days,517.2640797873034,0.7560360975765135,305.2059191980818,0.8488393041738697,716,168.0,2021,year,ALL,2021-01-01,2021-12-31,2.0,2.0
2021-01-01_2021-12-31,t850,GraphCast,7 days,2.2831035262524906,0.7665536128162701,1.4634508740401362,-0.0633289505984105,62,168.0,2021,year,ALL,2021-01-01,2021-12-31,1.0,2.0
2021-01-01_2021-12-31,t850,HRES,7 days,2.703895415952742,0.8526581390429792,1.750997990643072,0.0084591021423301,716,168.0,2021,year,ALL,2021-01-01,2021-12-31,2.0,1.0
2021-01-01_2021-12-31,t850,NeuralGCM,7 days,,,,,0,168.0,2021,year,ALL,2021-01-01,2021-12-31,,
2021-01-01_2021-12-31,u850,GraphCast,7 days,4.331438536488046,0.6463992097366273,2.908682316433077,0.050842044643307,62,168.0,2021,year,ALL,2021-01-01,2021-12-31,1.0,1.0
2021-01-01_2021-12-31,u850,HRES,7 days,5.079512360716083,0.6217043345306855,3.4714803209978853,-0.0369963619162967,716,168.0,2021,year,ALL,2021-01-01,2021-12-31,2.0,2.0
2021-01-01_2021-12-31,u850,NeuralGCM,7 days,,,,,0,168.0,2021,year,ALL,2021-01-01,2021-12-31,,
2021-01-01_2021-12-31,v850,GraphCast,7 days,4.398879596869315,0.6255145459409693,2.8777189341839047,0.0278123113011957,62,168.0,2021,year,ALL,2021-01-01,2021-12-31,1.0,1.0
2021-01-01_2021-12-31,v850,HRES,7 days,5.135107148052332,0.5571381708461367,3.415964002170447,-0.0090901203532983,716,168.0,2021,year,ALL,2021-01-01,2021-12-31,2.0,2.0
2021-01-01_2021-12-31,v850,NeuralGCM,7 days,,,,,0,168.0,2021,year,ALL,2021-01-01,2021-12-31,,
2021-01-01_2021-12-31,z500,GraphCast,7 days,449.3975819551929,0.8120373342014636,266.468279270328,-24.37050244301228,62,168.0,2021,year,ALL,2021-01-01,2021-12-31,1.0,2.0
2021-01-01_2021-12-31,z500,HRES,7 days,529.9358115317059,0.8600828596997723,310.2868378724583,-2.036102710618084,716,168.0,2021,year,ALL,2021-01-01,2021-12-31,2.0,1.0
2021-01-01_2021-12-31,z500,NeuralGCM,7 days,,,,,0,168.0,2021,year,ALL,2021-01-01,2021-12-31,,
2022-01-01_2022-12-31,mslp,HRES,7 days,505.2329621324106,0.773114573899166,300.03700723607034,2.367648573710893,716,168.0,2022,year,ALL,2022-01-01,2022-12-31,1.0,1.0
2022-01-01_2022-12-31,mslp,GraphCast,7 days,,,,,0,168.0,2022,year,ALL,2022-01-01,2022-12-31,,
2022-01-01_2022-12-31,t850,HRES,7 days,2.6394124328434283,0.8593511902112835,1.729123512209035,0.0058956256994913,716,168.0,2022,year,ALL,2022-01-01,2022-12-31,1.0,1.0
2022-01-01_2022-12-31,t850,GraphCast,7 days,,,,,0,168.0,2022,year,ALL,2022-01-01,2022-12-31,,
2022-01-01_2022-12-31,t850,NeuralGCM,7 days,,,,,0,168.0,2022,year,ALL,2022-01-01,2022-12-31,,
2022-01-01_2022-12-31,u850,HRES,7 days,4.974073714799068,0.6342912455952834,3.401668348187231,-0.085653848842724,716,168.0,2022,year,ALL,2022-01-01,2022-12-31,1.0,1.0
2022-01-01_2022-12-31,u850,GraphCast,7 days,,,,,0,168.0,2022,year,ALL,2022-01-01,2022-12-31,,
2022-01-01_2022-12-31,u850,NeuralGCM,7 days,,,,,0,168.0,2022,year,ALL,2022-01-01,2022-12-31,,
2022-01-01_2022-12-31,v850,HRES,7 days,5.058119432112018,0.5748953904729991,3.362318502743625,-0.0114265901455264,716,168.0,2022,year,ALL,2022-01-01,2022-12-31,1.0,1.0
2022-01-01_2022-12-31,v850,GraphCast,7 days,,,,,0,168.0,2022,year,ALL,2022-01-01,2022-12-31,,
2022-01-01_2022-12-31,v850,NeuralGCM,7 days,,,,,0,168.0,2022,year,ALL,2022-01-01,2022-12-31,,
2022-01-01_2022-12-31,z500,HRES,7 days,518.48237454819,0.8671156470196555,301.9865612575735,26.72312773284238,716,168.0,2022,year,ALL,2022-01-01,2022-12-31,1.0,1.0
2022-01-01_2022-12-31,z500,GraphCast,7 days,,,,,0,168.0,2022,year,ALL,2022-01-01,2022-12-31,,
2022-01-01_2022-12-31,z500,NeuralGCM,7 days,,,,,0,168.0,2022,year,ALL,2022-01-01,2022-12-31,,
2018-12-01_2019-02-28,mslp,HRES,7 days,498.9261027522989,0.7300632017713153,301.86453463066977,-2.319331865377632,166,168.0,DJF_2019,season,DJF,2018-12-01,2019-02-28,1.0,1.0
2018-12-01_2019-02-28,mslp,GraphCast,7 days,,,,,0,168.0,DJF_2019,season,DJF,2018-12-01,2019-02-28,,
2018-12-01_2019-02-28,t850,HRES,7 days,2.643288039084745,0.7088510297144998,1.729003789719174,-0.1014173768815935,166,168.0,DJF_2019,season,DJF,2018-12-01,2019-02-28,1.0,1.0
2018-12-01_2019-02-28,t850,GraphCast,7 days,,,,,0,168.0,DJF_2019,season,DJF,2018-12-01,2019-02-28,,
2018-12-01_2019-02-28,t850,NeuralGCM,7 days,,,,,0,168.0,DJF_2019,season,DJF,2018-12-01,2019-02-28,,
2018-12-01_2019-02-28,u850,HRES,7 days,5.028058277650812,0.5707399604127729,3.4596153891834014,-0.0667989356620095,166,168.0,DJF_2019,season,DJF,2018-12-01,2019-02-28,1.0,1.0
2018-12-01_2019-02-28,u850,GraphCast,7 days,,,,,0,168.0,DJF_2019,season,DJF,2018-12-01,2019-02-28,,
2018-12-01_2019-02-28,u850,NeuralGCM,7 days,,,,,0,168.0,DJF_2019,season,DJF,2018-12-01,2019-02-28,,
2018-12-01_2019-02-28,v850,HRES,7 days,5.05895986185052,0.5553817552250886,3.390100387132138,-0.0177565299652587,166,168.0,DJF_2019,season,DJF,2018-12-01,2019-02-28,1.0,1.0
2018-12-01_2019-02-28,v850,GraphCast,7 days,,,,,0,168.0,DJF_2019,season,DJF,2018-12-01,2019-02-28,,
2018-12-01_2019-02-28,v850,NeuralGCM,7 days,,,,,0,168.0,DJF_2019,season,DJF,2018-12-01,2019-02-28,,
2018-12-01_2019-02-28,z500,HRES,7 days,515.3357885343573,0.7704296006825475,312.6792702863923,-21.357711756970264,166,168.0,DJF_2019,season,DJF,2018-12-01,2019-02-28,1.0,1.0
2018-12-01_2019-02-28,z500,GraphCast,7 days,,,,,0,168.0,DJF_2019,season,DJF,2018-12-01,2019-02-28,,
2018-12-01_2019-02-28,z500,NeuralGCM,7 days,,,,,0,168.0,DJF_2019,season,DJF,2018-12-01,2019-02-28,,
2019-12-01_2020-02-29,mslp,GraphCast,7 days,429.115293396971,0.7940544252144066,254.63267181405587,-16.31546050934373,168,168.0,DJF_2020,season,DJF,2019-12-01,2020-02-29,1.0,1.0
2019-12-01_2020-02-29,mslp,HRES,7 days,484.2272129269545,0.7473082886847554,291.25587654717674,-2.2433401312128267,168,168.0,DJF_2020,season,DJF,2019-12-01,2020-02-29,2.0,2.0
2019-12-01_2020-02-29,t850,GraphCast,7 days,2.242236212039992,0.781781830441473,1.4402336171376602,-0.1282595928620596,168,168.0,DJF_2020,season,DJF,2019-12-01,2020-02-29,1.0,1.0
2019-12-01_2020-02-29,t850,NeuralGCM,7 days,2.2742581931267933,0.771992925225516,1.466085188536633,0.0181160618183124,106,168.0,DJF_2020,season,DJF,2019-12-01,2020-02-29,2.0,2.0
2019-12-01_2020-02-29,t850,HRES,7 days,2.550480241899804,0.7291495941953602,1.6749825916632095,-0.1053095886908385,168,168.0,DJF_2020,season,DJF,2019-12-01,2020-02-29,3.0,3.0
2019-12-01_2020-02-29,u850,GraphCast,7 days,4.201487351347276,0.6876495697302876,2.847138913745872,0.0818553228923682,168,168.0,DJF_2020,season,DJF,2019-12-01,2020-02-29,1.0,1.0
2019-12-01_2020-02-29,u850,NeuralGCM,7 days,4.368691843827245,0.6670589871934707,2.9562791597037976,0.0734916176592489,106,168.0,DJF_2020,season,DJF,2019-12-01,2020-02-29,2.0,2.0
2019-12-01_2020-02-29,u850,HRES,7 days,4.90028665235455,0.6033587416027076,3.363327689580234,-0.0814110497570358,168,168.0,DJF_2020,season,DJF,2019-12-01,2020-02-29,3.0,3.0
2019-12-01_2020-02-29,v850,GraphCast,7 days,4.228733670345823,0.657311567708413,2.7889439777372638,0.0149029471664352,168,168.0,DJF_2020,season,DJF,2019-12-01,2020-02-29,1.0,1.0
2019-12-01_2020-02-29,v850,NeuralGCM,7 days,4.413533541837095,0.642959101018833,2.913054683888732,0.0216189995078562,106,168.0,DJF_2020,season,DJF,2019-12-01,2020-02-29,2.0,2.0
2019-12-01_2020-02-29,v850,HRES,7 days,4.88608596890969,0.5776145878449508,3.275114332557844,-0.014846076836818,168,168.0,DJF_2020,season,DJF,2019-12-01,2020-02-29,3.0,3.0
2019-12-01_2020-02-29,z500,GraphCast,7 days,436.51350218323137,0.8331542642075169,254.701609133859,-22.297585889443184,168,168.0,DJF_2020,season,DJF,2019-12-01,2020-02-29,1.0,1.0
2019-12-01_2020-02-29,z500,NeuralGCM,7 days,437.7334567577613,0.8287356229673882,256.77081586047814,-5.211299634172296,106,168.0,DJF_2020,season,DJF,2019-12-01,2020-02-29,2.0,2.0
2019-12-01_2020-02-29,z500,HRES,7 days,488.6500900963539,0.7975628581646625,300.26704613343423,-26.564561043114097,168,168.0,DJF_2020,season,DJF,2019-12-01,2020-02-29,3.0,3.0
2020-12-01_2021-02-28,mslp,GraphCast,7 days,425.5693864469703,0.7922287982842321,254.51489335249332,-17.996902833475485,124,168.0,DJF_2021,season,DJF,2020-12-01,2021-02-28,1.0,1.0
2020-12-01_2021-02-28,mslp,HRES,7 days,491.87332732474135,0.747398927264226,293.83182495273115,-0.2181531156973873,166,168.0,DJF_2021,season,DJF,2020-12-01,2021-02-28,2.0,2.0
2020-12-01_2021-02-28,t850,NeuralGCM,7 days,2.177351171426031,0.7331855768648944,1.4103447323151257,0.1108561514503697,62,168.0,DJF_2021,season,DJF,2020-12-01,2021-02-28,1.0,2.0
2020-12-01_2021-02-28,t850,GraphCast,7 days,2.2146245398316267,0.7669445179844259,1.423357021999446,-0.0684488416515776,124,168.0,DJF_2021,season,DJF,2020-12-01,2021-02-28,2.0,1.0
2020-12-01_2021-02-28,t850,HRES,7 days,2.63747675191647,0.7236626722041866,1.702314717839251,0.010276157124886,166,168.0,DJF_2021,season,DJF,2020-12-01,2021-02-28,3.0,3.0
2020-12-01_2021-02-28,u850,GraphCast,7 days,4.2555528029887,0.6536225871550302,2.856789595901825,0.0406461129055354,124,168.0,DJF_2021,season,DJF,2020-12-01,2021-02-28,1.0,1.0
2020-12-01_2021-02-28,u850,NeuralGCM,7 days,4.287161064787508,0.6350442900490564,2.8821740470050203,0.0674523725821138,62,168.0,DJF_2021,season,DJF,2020-12-01,2021-02-28,2.0,2.0
2020-12-01_2021-02-28,u850,HRES,7 days,4.943365502091702,0.5798198256680515,3.375624722894196,-0.0846487332707832,166,168.0,DJF_2021,season,DJF,2020-12-01,2021-02-28,3.0,3.0
2020-12-01_2021-02-28,v850,GraphCast,7 days,4.300456510188612,0.6256153589732228,2.80806036456184,0.0286639366358562,124,168.0,DJF_2021,season,DJF,2020-12-01,2021-02-28,1.0,1.0
2020-12-01_2021-02-28,v850,NeuralGCM,7 days,4.33732896153707,0.6163885548668918,2.8349941002163423,0.0490978706300753,62,168.0,DJF_2021,season,DJF,2020-12-01,2021-02-28,2.0,2.0
2020-12-01_2021-02-28,v850,HRES,7 days,5.006848777198115,0.54739084163328,3.318348114064554,-0.0148616078568921,166,168.0,DJF_2021,season,DJF,2020-12-01,2021-02-28,3.0,3.0
2020-12-01_2021-02-28,z500,NeuralGCM,7 days,407.5604532436995,0.8166961520290601,239.5944315879021,2.801189144739741,62,168.0,DJF_2021,season,DJF,2020-12-01,2021-02-28,1.0,2.0
2020-12-01_2021-02-28,z500,GraphCast,7 days,431.2015329618404,0.8215740158417579,255.6875876407894,-24.6614054196434,124,168.0,DJF_2021,season,DJF,2020-12-01,2021-02-28,2.0,1.0
2020-12-01_2021-02-28,z500,HRES,7 days,501.2299354315263,0.7860050510364722,301.11636403142944,-13.458397854184618,166,168.0,DJF_2021,season,DJF,2020-12-01,2021-02-28,3.0,3.0
2021-12-01_2022-02-28,mslp,HRES,7 days,493.932711679919,0.7550474382115023,298.5492545059414,-0.0242610893672438,166,168.0,DJF_2022,season,DJF,2021-12-01,2022-02-28,1.0,1.0
2021-12-01_2022-02-28,mslp,GraphCast,7 days,,,,,0,168.0,DJF_2022,season,DJF,2021-12-01,2022-02-28,,
2021-12-01_2022-02-28,t850,HRES,7 days,2.592728510432315,0.7242066841914203,1.704808588990188,-0.0322409328846841,166,168.0,DJF_2022,season,DJF,2021-12-01,2022-02-28,1.0,1.0
2021-12-01_2022-02-28,t850,GraphCast,7 days,,,,,0,168.0,DJF_2022,season,DJF,2021-12-01,2022-02-28,,
2021-12-01_2022-02-28,t850,NeuralGCM,7 days,,,,,0,168.0,DJF_2022,season,DJF,2021-12-01,2022-02-28,,
2021-12-01_2022-02-28,u850,HRES,7 days,4.83563471874071,0.6211531844097947,3.322715764934711,-0.145872981413914,166,168.0,DJF_2022,season,DJF,2021-12-01,2022-02-28,1.0,1.0
2021-12-01_2022-02-28,u850,GraphCast,7 days,,,,,0,168.0,DJF_2022,season,DJF,2021-12-01,2022-02-28,,
2021-12-01_2022-02-28,u850,NeuralGCM,7 days,,,,,0,168.0,DJF_2022,season,DJF,2021-12-01,2022-02-28,,
2021-12-01_2022-02-28,v850,HRES,7 days,4.9243797884725655,0.570683009709715,3.290076023464368,-0.0596077324604988,166,168.0,DJF_2022,season,DJF,2021-12-01,2022-02-28,1.0,1.0
2021-12-01_2022-02-28,v850,GraphCast,7 days,,,,,0,168.0,DJF_2022,season,DJF,2021-12-01,2022-02-28,,
2021-12-01_2022-02-28,v850,NeuralGCM,7 days,,,,,0,168.0,DJF_2022,season,DJF,2021-12-01,2022-02-28,,
2021-12-01_2022-02-28,z500,HRES,7 days,502.9210864736634,0.8015496032360072,297.8671221506393,18.482854104496397,166,168.0,DJF_2022,season,DJF,2021-12-01,2022-02-28,1.0,1.0
2021-12-01_2022-02-28,z500,GraphCast,7 days,,,,,0,168.0,DJF_2022,season,DJF,2021-12-01,2022-02-28,,
2021-12-01_2022-02-28,z500,NeuralGCM,7 days,,,,,0,168.0,DJF_2022,season,DJF,2021-12-01,2022-02-28,,
2018-06-01_2018-08-31,mslp,HRES,7 days,514.4679772187562,0.696886005520856,299.9415825431428,-4.373152109908553,170,168.0,JJA_2018,season,JJA,2018-06-01,2018-08-31,1.0,1.0
2018-06-01_2018-08-31,mslp,GraphCast,7 days,,,,,0,168.0,JJA_2018,season,JJA,2018-06-01,2018-08-31,,
2018-06-01_2018-08-31,t850,HRES,7 days,2.704103516454527,0.6321509126702501,1.7289599286312467,-0.0621293593089492,170,168.0,JJA_2018,season,JJA,2018-06-01,2018-08-31,1.0,1.0
2018-06-01_2018-08-31,t850,GraphCast,7 days,,,,,0,168.0,JJA_2018,season,JJA,2018-06-01,2018-08-31,,
2018-06-01_2018-08-31,t850,NeuralGCM,7 days,,,,,0,168.0,JJA_2018,season,JJA,2018-06-01,2018-08-31,,
2018-06-01_2018-08-31,u850,HRES,7 days,5.1632978625678,0.556636810327543,3.5501660152853285,0.0034318686262671,170,168.0,JJA_2018,season,JJA,2018-06-01,2018-08-31,1.0,1.0
2018-06-01_2018-08-31,u850,GraphCast,7 days,,,,,0,168.0,JJA_2018,season,JJA,2018-06-01,2018-08-31,,
2018-06-01_2018-08-31,u850,NeuralGCM,7 days,,,,,0,168.0,JJA_2018,season,JJA,2018-06-01,2018-08-31,,
2018-06-01_2018-08-31,v850,HRES,7 days,5.284370015895261,0.5093533420838539,3.5275898928409197,-0.0044926501795069,170,168.0,JJA_2018,season,JJA,2018-06-01,2018-08-31,1.0,1.0
2018-06-01_2018-08-31,v850,GraphCast,7 days,,,,,0,168.0,JJA_2018,season,JJA,2018-06-01,2018-08-31,,
2018-06-01_2018-08-31,v850,NeuralGCM,7 days,,,,,0,168.0,JJA_2018,season,JJA,2018-06-01,2018-08-31,,
2018-06-01_2018-08-31,z500,HRES,7 days,531.8940147774252,0.7433472445573396,308.7243400183348,-10.149437585026948,170,168.0,JJA_2018,season,JJA,2018-06-01,2018-08-31,1.0,1.0
2018-06-01_2018-08-31,z500,GraphCast,7 days,,,,,0,168.0,JJA_2018,season,JJA,2018-06-01,2018-08-31,,
2018-06-01_2018-08-31,z500,NeuralGCM,7 days,,,,,0,168.0,JJA_2018,season,JJA,2018-06-01,2018-08-31,,
2019-06-01_2019-08-31,mslp,HRES,7 days,504.5025868956067,0.7123548670342191,292.65467176384504,-1.625381084483019,170,168.0,JJA_2019,season,JJA,2019-06-01,2019-08-31,1.0,1.0
2019-06-01_2019-08-31,mslp,GraphCast,7 days,,,,,0,168.0,JJA_2019,season,JJA,2019-06-01,2019-08-31,,
2019-06-01_2019-08-31,t850,HRES,7 days,2.632124263708116,0.6556059236150659,1.7003640261487127,-0.0653187902397495,170,168.0,JJA_2019,season,JJA,2019-06-01,2019-08-31,1.0,1.0
2019-06-01_2019-08-31,t850,GraphCast,7 days,,,,,0,168.0,JJA_2019,season,JJA,2019-06-01,2019-08-31,,
2019-06-01_2019-08-31,t850,NeuralGCM,7 days,,,,,0,168.0,JJA_2019,season,JJA,2019-06-01,2019-08-31,,
2019-06-01_2019-08-31,u850,HRES,7 days,5.103940555578452,0.5650648100659855,3.5023843438586963,0.0079444359791901,170,168.0,JJA_2019,season,JJA,2019-06-01,2019-08-31,1.0,1.0
2019-06-01_2019-08-31,u850,GraphCast,7 days,,,,,0,168.0,JJA_2019,season,JJA,2019-06-01,2019-08-31,,
2019-06-01_2019-08-31,u850,NeuralGCM,7 days,,,,,0,168.0,JJA_2019,season,JJA,2019-06-01,2019-08-31,,
2019-06-01_2019-08-31,v850,HRES,7 days,5.147613357831067,0.5346476621874958,3.4337602658968387,0.0294439447540626,170,168.0,JJA_2019,season,JJA,2019-06-01,2019-08-31,1.0,1.0
2019-06-01_2019-08-31,v850,GraphCast,7 days,,,,,0,168.0,JJA_2019,season,JJA,2019-06-01,2019-08-31,,
2019-06-01_2019-08-31,v850,NeuralGCM,7 days,,,,,0,168.0,JJA_2019,season,JJA,2019-06-01,2019-08-31,,
2019-06-01_2019-08-31,z500,HRES,7 days,518.5337600380836,0.7560461248267923,301.7685054315018,-14.37977861500496,170,168.0,JJA_2019,season,JJA,2019-06-01,2019-08-31,1.0,1.0
2019-06-01_2019-08-31,z500,GraphCast,7 days,,,,,0,168.0,JJA_2019,season,JJA,2019-06-01,2019-08-31,,
2019-06-01_2019-08-31,z500,NeuralGCM,7 days,,,,,0,168.0,JJA_2019,season,JJA,2019-06-01,2019-08-31,,
2020-06-01_2020-08-31,mslp,GraphCast,7 days,454.642753164657,0.7473648087268969,260.0596909014152,-10.995547834733744,170,168.0,JJA_2020,season,JJA,2020-06-01,2020-08-31,1.0,1.0
2020-06-01_2020-08-31,mslp,HRES,7 days,494.15471820938814,0.7179037960803619,285.2048081645443,-1.5629874803102848,170,168.0,JJA_2020,season,JJA,2020-06-01,2020-08-31,2.0,2.0
2020-06-01_2020-08-31,t850,GraphCast,7 days,2.333094409487012,0.723649145214342,1.4694034612621472,-0.0944561967173144,170,168.0,JJA_2020,season,JJA,2020-06-01,2020-08-31,1.0,1.0
2020-06-01_2020-08-31,t850,NeuralGCM,7 days,2.373544492394986,0.7162629471419332,1.5099833425394824,0.0409122073930785,170,168.0,JJA_2020,season,JJA,2020-06-01,2020-08-31,2.0,2.0
2020-06-01_2020-08-31,t850,HRES,7 days,2.649294442615097,0.6611713092542496,1.7079273186738964,-0.0011681703989452,170,168.0,JJA_2020,season,JJA,2020-06-01,2020-08-31,3.0,3.0
2020-06-01_2020-08-31,u850,GraphCast,7 days,4.452157507053607,0.6358831305167845,2.985082783529293,0.107679499087387,170,168.0,JJA_2020,season,JJA,2020-06-01,2020-08-31,1.0,1.0
